Time	GLC	G6P	F6P	FBP
26	4.61505718142708	1.42922162100354	0.0647138543096723	0.0620277368311465
28.22	4.52485194362536	1.51091061832915	0.0687714391330165	0.0703934322400981
30.44	4.43717975956945	1.58935730496499	0.0726625248538395	0.0794353894509104
32.66	4.35196235527499	1.66466037654079	0.0763919707947517	0.0891388237635403
34.88	4.26912285417041	1.73691679001077	0.0799645561531781	0.099489062672592
37.1	4.18858577709692	1.80622176365366	0.0833849800013588	0.110471545867317
39.32	4.1102770423085	1.87266877707266	0.0866578612863481	0.122071825231615
41.54	4.03412396547193	1.93634957119552	0.0897877388300154	0.134275564844033
43.76	3.96005525966674	1.99735414827446	0.0927790713290447	0.147068540977764
45.98	3.88800103538526	2.05577077188619	0.0956362373549348	0.160436642100651
48.2	3.8178928005326	2.11168596693196	0.0983635353539993	0.174365868875182
50.42	3.74966346042665	2.16518451963747	0.100965183647366	0.188842334158494
52.64	3.68324731779806	2.21634947755297	0.103445320430978	0.203852263002371
54.86	3.61858007279029	2.26526214955319	0.105808003775594	0.219381992653245
57.08	3.55559882295956	2.31200210583734	0.108057211626785	0.235417972552195
59.3	3.49424206327488	2.35664717792916	0.110196841804938	0.251946764334947
61.52	3.43444968611803	2.39927345867689	0.112230712005256	0.268955041831875
63.74	3.37616298128357	2.43995530225325	0.114162559797755	0.286429591068001
65.96	3.31932463597886	2.47876532415548	0.115996042627266	0.304357310262993
68.18	3.26387873482401	2.51577440120531	0.117734737813435	0.322725209831168
70.4	3.20977075985193	2.55105167154898	0.119382142550724	0.341520412381491
72.62	3.15694759050831	2.58466453465722	0.120941673908407	0.360730152717571
74.84	3.10535750365161	2.61667865132526	0.122416668830576	0.380341777837669
77.06	3.05495017355307	2.64715794367284	0.123810384136134	0.40034274693469
79.28	3.00567667189671	2.67616459514421	0.125125996518801	0.420720631396188
81.5	2.95748946777936	2.7037590505081	0.126366602547112	0.441463114804364
83.72	2.91034242771058	2.73000001585774	0.127535218664416	0.462557992936068
85.94	2.86419081561273	2.75494445861088	0.128634781188877	0.483993173762794
88.16	2.81899129282098	2.77864760750976	0.129668146313473	0.505756677450688
90.38	2.77470191808323	2.80116295262112	0.130638090105998	0.52783663636054
92.6	2.73128214756019	2.82254224533621	0.13154730850906	0.550221295047789
94.82	2.68869283482535	2.84283549837075	0.132398417340082	0.57289901026252
97.04	2.64689623086497	2.86209098576501	0.1331939522913	0.595858250949468
99.26	2.60585598407809	2.88035524288372	0.133936368929767	0.619087598248013
101.48	2.56553714027653	2.89767306641613	0.134628042697351	0.642575745492184
103.7	2.5259061426849	2.91408751437598	0.135271268910733	0.666311498210658
105.92	2.48693083194058	2.92963990610152	0.135868262761409	0.690283774126756
108.14	2.44858044609374	2.94436982225551	0.13642115931569	0.714481603158452
110.36	2.41082562060731	2.95831510482518	0.136932013514703	0.738894127418362
112.58	2.37363838835702	2.97151185712229	0.137402800174387	0.763510601213752
114.8	2.33699217963137	2.98399444378308	0.137835413985498	0.788320391046537
117.02	2.30086182213164	2.99579549076832	0.138231669513607	0.813312975613277
119.24	2.2652235409719	3.00694588536324	0.138593301199098	0.838477945805179
121.46	2.23005495867899	3.0174747761776	0.13892196335717	0.863805004708101
123.68	2.19533509519252	3.02740957314566	0.139219230177838	0.889283967602546
125.9	2.16104436786491	3.03677594752617	0.139486595725931	0.914904761963663
128.12	2.12716459146133	3.04559783190239	0.139725473941092	0.940657427461252
130.34	2.09367897815975	3.05389742018206	0.139937198637779	0.966532115959757
132.56	2.0605721375509	3.06169516759745	0.140123023505267	0.992519091518273
134.78	2.02783007663831	3.06900979070531	0.140284122107642	1.01860873039054
137	1.99544019983827	3.0758582673869	0.140421587883808	1.04479152102494
139.22	1.96339126595763	3.0822558947561	0.14053643648838	1.07105806884375
141.44	1.93167291494905	3.08821692614881	0.140629631541565	1.09739914881453
143.66	1.90027519466627	3.09375520811226	0.140702110379045	1.12380575802165
145.88	1.86918851784194	3.09888423831322	0.140754786392868	1.15026912044545
148.1	1.83840366208754	3.10361716553793	0.140788549031456	1.17678068696231
150.32	1.80791176989343	3.10796678969214	0.1408042637996	1.20333213534455
152.54	1.77770434862882	3.11194556180109	0.140802772258461	1.22991537026054
154.76	1.74777327054179	3.11556558400952	0.14078489202557	1.25652252327463
156.98	1.71811077275929	3.11883860958167	0.140751416774829	1.28314595284715
159.2	1.68870945728711	3.12177604290128	0.140703116236509	1.30977824433446
161.42	1.65956229100993	3.12438893947157	0.140640736197254	1.3364122099889
163.64	1.63066260569128	3.12668800591528	0.140564998500075	1.3630408889588
165.86	1.60200409797355	3.12868359997463	0.140476601044354	1.38965754728851
168.08	1.57358082937799	3.13038573051134	0.140376217785846	1.41625567791837
170.3	1.54538722630472	3.13180405750664	0.140264498736673	1.4428290006847
172.52	1.51741808003273	3.13294789206124	0.140142069965329	1.46937146231986
174.74	1.48966854671985	3.13382619639536	0.140009533596677	1.49587723645215
176.96	1.4621341474028	3.13444758384871	0.139867467811951	1.52234072360593
179.18	1.43481076799714	3.1348203188805	0.139716426848756	1.54875655120151
181.4	1.40769465929731	3.13495231706943	0.139556941001067	1.57511957355523
183.62	1.3807824369766	3.13485114511371	0.139389516619227	1.60142487187941
185.84	1.35407108158717	3.13452402083103	0.139214636109952	1.62766775428237
188.06	1.32755793856004	3.13397781315861	0.139032757936328	1.65384375576843
190.28	1.30124071820509	3.13321904215312	0.138844316617809	1.67994863823792
192.5	1.27511749571107	3.13225387899076	0.138649722730222	1.70597839048716
