Time	GLC	ATP	G6P	ADP	F6P	FBP
26	-0.0416670252653752	-0.0448291953071845	0.0370904933105434	0.0448291953071845	0.00141436191302252	0.00316217004180932
28.22	-0.0404851027865486	-0.043978310175587	0.0356305713725377	0.043978310175587	0.00136132402497248	0.00349320738903841
30.44	-0.0393399530135257	-0.0431563132842491	0.0342142990972933	0.0431563132842491	0.001309293645509	0.00381636027072344
32.66	-0.0382309116620298	-0.0423626257060842	0.0328409281167086	0.0423626257060842	0.00125826950126676	0.00413171404405441
34.88	-0.0371573144477842	-0.0415966685140055	0.0315097100626825	0.0415966685140055	0.00120825031888046	0.00443935406622128
37.1	-0.0361184970865124	-0.0408578627809264	0.0302198965671135	0.0408578627809264	0.00115923482498479	0.00473936569441405
39.32	-0.0351137952939375	-0.0401456295797602	0.0289707392619004	0.0401456295797602	0.00111122174621444	0.00503183428582268
41.54	-0.0341425447857831	-0.0394593899834203	0.0277614897789419	0.0394593899834203	0.00106420980920409	0.00531684519763717
43.76	-0.0332040812777724	-0.0387985650648199	0.0265913997501365	0.0387985650648199	0.00101819774058843	0.00559448378704749
45.98	-0.0322977404856289	-0.0381625758968725	0.0254597208073831	0.0381625758968725	0.00097318426700216	0.00586483541124362
48.2	-0.0314228581250757	-0.0375508435524913	0.0243657045825802	0.0375508435524913	0.00092916811507996	0.00612798542741555
50.42	-0.0305787699118364	-0.0369627891045896	0.0233086027076266	0.0369627891045896	0.000886148011456521	0.00638401919275324
52.64	-0.0297648115616342	-0.0363978336260809	0.022287666814421	0.0363978336260809	0.000844122682766534	0.0066330220644467
54.86	-0.0289803187901925	-0.0358553981898784	0.0213021485348619	0.0358553981898784	0.000803090855644686	0.00687507939968588
57.08	-0.0282246273132346	-0.0353349038688954	0.0203512995008482	0.0353349038688954	0.000763051256725666	0.00711027655566078
59.3	-0.0274970728464839	-0.0348357717360453	0.0194343713442784	0.0348357717360453	0.000724002612644165	0.00733869888956138
61.52	-0.0267969911056638	-0.0343574228642414	0.0185506156970512	0.0343574228642414	0.000685943650034871	0.00756043175857765
63.74	-0.0261237178064975	-0.0338992783263971	0.0176992841910654	0.0338992783263971	0.000648873095532473	0.00777556051989958
65.96	-0.0254765886647084	-0.0334607591954256	0.0168796284582196	0.0334607591954256	0.000612789675771661	0.00798417053071715
68.18	-0.02485493939602	-0.0330412865442403	0.0160909001304125	0.0330412865442403	0.000577692117387123	0.00818634714822034
70.4	-0.0242581057161554	-0.0326402814457546	0.0153323508395428	0.0326402814457546	0.000543579147013549	0.00838217572959912
72.62	-0.0236854233408382	-0.0322571649728816	0.014603232217509	0.0322571649728816	0.000510449491285627	0.00857174163204348
74.84	-0.0231362279857915	-0.0318913581985349	0.0139027958962101	0.0318913581985349	0.000478301876838048	0.00875513021274341
77.06	-0.0226098553667389	-0.0315422821956277	0.0132302935075445	0.0315422821956277	0.000447135030305499	0.00893242682888887
79.28	-0.0221056411994035	-0.0312093580370733	0.012584976683411	0.0312093580370733	0.00041694767832267	0.00910371683766985
81.5	-0.0216229211995088	-0.0308920067957851	0.0119660970557082	0.0308920067957851	0.000387738547524251	0.00926908559627633
83.72	-0.0211610310827782	-0.0305896495446764	0.0113729062563349	0.0305896495446764	0.00035950636454493	0.00942861846189829
85.94	-0.0207193065649349	-0.0303017073566606	0.0108046559171897	0.0303017073566606	0.000332249856019396	0.00958240079172572
88.16	-0.0202970833617023	-0.0300276013046509	0.0102605976701713	0.0300276013046509	0.000305967748582339	0.00973051794294858
90.38	-0.0198936971888037	-0.0297667524615606	0.00973998314717842	0.0297667524615606	0.000280658768868448	0.00987305527275688
92.6	-0.0195084837619626	-0.0295185819003032	0.00924206398010965	0.0295185819003032	0.000256321643512411	0.0100100981383406
94.82	-0.0191407787969023	-0.0292825106937919	0.00876609180086371	0.0292825106937919	0.000232955099148918	0.0101417318968897
97.04	-0.018789918009346	-0.0290579599149401	0.00831131824133928	0.0290579599149401	0.000210557862412659	0.0102680419055941
99.26	-0.0184552371150172	-0.0288443506366611	0.00787699493343504	0.0288443506366611	0.000189128659938322	0.0103891135216439
101.48	-0.0181360718296392	-0.0286411039318682	0.00746237350904966	0.0286411039318682	0.000168666218360595	0.010505032102229
103.7	-0.0178317578689354	-0.0284476408734748	0.00706670560008183	0.0284476408734748	0.00014916926431417	0.0106158830045394
105.92	-0.0175416309486291	-0.0282633825343942	0.00668924283843023	0.0282633825343942	0.000130636524433734	0.0107217515857651
108.14	-0.0172650267844436	-0.0280877499875397	0.00632923685599353	0.0280877499875397	0.000113066725353976	0.0108227232030961
110.36	-0.0170012810921023	-0.0279201643058246	0.00598593928467041	0.0279201643058246	9.64585937095867e-05	0.0109188832137223
112.58	-0.0167497295873286	-0.0277600465621623	0.00565860175635955	0.0277600465621623	8.08108561352539e-05	0.0110103169748338
114.8	-0.0165097079858457	-0.0276068178294661	0.00534647590295963	0.0276068178294661	6.61222392656673e-05	0.0110971098436204
117.02	-0.0162805520033771	-0.0274598991806494	0.00504881335636933	0.0274598991806494	5.23914697355158e-05	0.0111793471772723
119.24	-0.0160615973556461	-0.0273187116886254	0.00476486574848733	0.0273187116886254	3.96172741794885e-05	0.0112571143329793
121.46	-0.015852179758376	-0.0271826764263075	0.0044938847112123	0.0271826764263075	2.77983792322745e-05	0.0113304966679314
123.68	-0.0156516349272902	-0.027051214466609	0.00423512187644293	0.027051214466609	1.69335115285633e-05	0.0113995795393187
125.9	-0.0154592985781121	-0.0269237468824432	0.00398782887607789	0.0269237468824432	7.02139770304359e-06	0.0114644483043311
