Time	GLC	ATP	G6P	ADP	F6P	FBP
26	4.62492349332392	9.72621541537361	1.43908793290039	0	0.0745801662065173	0.0718940487279931
28.22	4.53374149558315	9.62764448216294	1.51980017028695	0.0985709332106728	0.077660991090817	0.0792829841978998
30.44	4.44514242514935	9.53093034089621	1.5973199705449	0.195285074477399	0.0806251904337492	0.087398055030821
32.66	4.35904538397117	9.43600950228913	1.67174340523698	0.290205913084487	0.0834749994909407	0.0962218524597299
34.88	4.27537094870837	9.34281976227549	1.74316488454874	0.383395653098116	0.086212650691147	0.105737157210561
37.1	4.19404117073181	9.25130020200728	1.81167715728855	0.474915213366331	0.088840373636253	0.115926939502212
39.32	4.11497957612342	9.16139118785457	1.87737131088759	0.564824227519045	0.0913603951012723	0.126774359046539
41.54	4.03811116567625	9.07303437140557	1.94033677139986	0.653181043968038	0.0937749390343475	0.138262765048365
43.76	3.96336241489444	8.98617268946665	2.00066130350216	0.740042725906958	0.0960862265567505	0.150375696205469
45.98	3.8906612739932	8.90075036406229	2.05843101049414	0.825465051311322	0.0982964759628819	0.163096880708597
48.2	3.81993716789887	8.81671290243511	2.11373033429823	0.909502512938512	0.100407902720272	0.176410236241453
50.42	3.75112099624885	8.73400709704583	2.16664205545968	0.992208318327778	0.102422719469578	0.190299869980705
52.64	3.68414513339167	8.65258102557337	2.21724729314658	1.07363438980024	0.104343136024589	0.204750078595981
54.86	3.61894342838692	8.57238405091473	2.26562550514981	1.15383136445888	0.106171359372222	0.219745348249872
57.08	3.5554512050053	8.49336682118505	2.31185448788307	1.23284859418856	0.107909593672522	0.23527035459793
59.3	3.4936052617286	8.41548126971762	2.35601037638289	1.310734145656	0.109560040258664	0.251309962788671
61.52	3.43334387174972	8.33868061506383	2.39816764430858	1.38753480030978	0.111124897636951	0.267849227463569
63.74	3.37460678297263	8.26291936099325	2.43839910394231	1.46329605438036	0.112606361486817	0.284873392757062
65.96	3.31733521801241	8.18815329649355	2.47677590618904	1.53806211888007	0.114006624660824	0.30236789229655
68.18	3.26147187419523	8.11433949577052	2.51336754057654	1.61187591960309	0.115327877184662	0.320318349202393
70.4	3.20696092355835	8.04143631824812	2.5482418352554	1.68477909712549	0.116572306257151	0.338710576087916
72.62	3.15374801285014	7.96940340856842	2.58146495699904	1.75681200680519	0.11774209625024	0.357530575059402
74.84	3.10178026353003	7.89820169659162	2.61310141120369	1.828013718782	0.118839428709007	0.376764537716098
77.06	3.05100627176859	7.82779339739606	2.64321404188837	1.89842201797756	0.119866482351658	0.396398845150212
79.28	3.00137610844744	7.75814201127821	2.67186403169494	1.9680734040954	0.12082543306953	0.416420067946915
81.5	2.95284131915933	7.68921232375268	2.69911090188807	2.03700309162094	0.121718453927087	0.436814966184337
83.72	2.90535492420808	7.62097040555219	2.72501251235525	2.10524500982142	0.122547715161924	0.457570489433573
85.94	2.85887141860862	7.55338361262762	2.74962506160677	2.17283180274599	0.123315384184762	0.478673776758678
88.16	2.81334677208696	7.48642058614797	2.77300308677574	2.23979482922564	0.124023625579455	0.500112156716668
90.38	2.76873842908021	7.42005125250037	2.79519946361811	2.30616416287324	0.124674601102983	0.521873147357523
92.6	2.72500530873659	7.35424682329009	2.8162654065126	2.37196859208353	0.125270469685456	0.543944456224182
94.82	2.68210780491538	7.28897979534051	2.83625046846078	2.4372356200331	0.125813387430113	0.566313980352549
97.04	2.64000778618699	7.22422395069318	2.85520254108703	2.50199146468043	0.126305507613321	0.588969806271487
99.26	2.59866859583289	7.15995435660776	2.87316785463853	2.56626105876586	0.126748980684579	0.611900210002823
101.48	2.55805505184569	7.09614736556203	2.89019097798528	2.63006804981158	0.127145954266511	0.635093657061342
103.7	2.51813344692904	7.03278061525192	2.90631481862012	2.69343480012169	0.127498573154873	0.658538802454796
105.92	2.47887154849772	6.96983302859151	2.92158062265866	2.7563823867821	0.127808979318549	0.682224490683894
108.14	2.44023859867759	6.90728481371297	2.93602797483936	2.81893060166064	0.128079311899551	0.706139755742311
110.36	2.40220531430562	6.84511746396663	2.9496947985235	2.88109795140698	0.128311707213023	0.73027382111668
112.58	2.36474388692986	6.78331375792095	2.96261735569513	2.94290165745267	0.128508298747234	0.754616099786597
114.8	2.32782798280945	6.72185775936251	2.97483024696117	3.0043576560111	0.128671217163585	0.779156194224621
117.02	2.29143274291463	6.66073481729605	2.98636641155131	3.06548059807756	0.128802590296604	0.803883896396272
119.24	2.25553478292675	6.5999315659444	2.99725712731809	3.12628384942921	0.128904543153951	0.828789187760031
121.46	2.22011219323822	6.53943592474857	3.00753201073684	3.18677949062504	0.128979197916412	0.853862239267342
123.68	2.18514453895258	6.47923709836766	3.01721901690573	3.24697831700595	0.129028673937903	0.879093411362609
125.9	2.15061285988445	6.41932557667893	3.02634443954571	3.30688983869468	0.129055087745469	0.904473253983199
128.12	2.11649967055952	6.35969313477776	3.03493291100058	3.36652228059585	0.129060553039284	0.929992506559442
130.34	2.08278896021461	6.30033283297767	3.04300740223693	3.42588258239594	0.129047180692651	0.955642098014627
132.56	2.04946619279763	6.24123901681031	3.05058922284418	3.4849763985633	0.129017078752003	0.981413146765007
134.78	2.01651830696756	6.18240731702545	3.05769802103456	3.54380809834816	0.128972352436901	1.0072969607198
137	1.9839337160945	6.12383464959101	3.06435178364312	3.6023807657826	0.128915104140034	1.03328503728117
139.22	1.95170225974254	6.06551916790046	3.07056688853212	3.66069624747315	0.128847430264397	1.05936906261976
141.44	1.91981466998196	6.00745973705447	3.07635868103946	3.71875567831915	0.128771386432219	1.08554090370518
