Time	HXK:	PGI:	PFK:
26	0.0416670252653752	0.00457653195483185	0.00316217004180932
28.22	0.0404851027865486	0.00485453141401089	0.00349320738903841
30.44	0.0393399530135257	0.00512565391623244	0.00381636027072344
32.66	0.0382309116620298	0.00538998354532117	0.00413171404405441
34.88	0.0371573144477842	0.00564760438510175	0.00443935406622128
37.1	0.0361184970865124	0.00589860051939884	0.00473936569441405
39.32	0.0351137952939375	0.00614305603203712	0.00503183428582268
41.54	0.0341425447857831	0.00638105500684126	0.00531684519763717
43.76	0.0332040812777724	0.00661268152763592	0.00559448378704749
45.98	0.0322977404856289	0.00683801967824578	0.00586483541124362
48.2	0.0314228581250757	0.00705715354249551	0.00612798542741555
50.42	0.0305787699118364	0.00727016720420976	0.00638401919275324
52.64	0.0297648115616342	0.00747714474721323	0.0066330220644467
54.86	0.0289803187901925	0.00767817025533057	0.00687507939968588
57.08	0.0282246273132346	0.00787332781238645	0.00711027655566078
59.3	0.0274970728464839	0.00806270150220555	0.00733869888956138
61.52	0.0267969911056638	0.00824637540861252	0.00756043175857765
63.74	0.0261237178064975	0.00842443361543206	0.00777556051989958
65.96	0.0254765886647084	0.00859696020648881	0.00798417053071715
68.18	0.02485493939602	0.00876403926560746	0.00818634714822034
70.4	0.0242581057161554	0.00892575487661267	0.00838217572959912
72.62	0.0236854233408382	0.00908219112332911	0.00857174163204348
74.84	0.0231362279857915	0.00923343208958145	0.00875513021274341
77.06	0.0226098553667389	0.00937956185919437	0.00893242682888887
79.28	0.0221056411994035	0.00952066451599252	0.00910371683766985
81.5	0.0216229211995088	0.00965682414380058	0.00926908559627633
83.72	0.0211610310827782	0.00978812482644322	0.00942861846189829
85.94	0.0207193065649349	0.00991465064774511	0.00958240079172572
88.16	0.0202970833617023	0.0100364856915309	0.00973051794294858
90.38	0.0198936971888037	0.0101537140416253	0.00987305527275688
92.6	0.0195084837619626	0.010266419781853	0.0100100981383406
94.82	0.0191407787969023	0.0103746869960386	0.0101417318968897
97.04	0.018789918009346	0.0104785997680068	0.0102680419055941
99.26	0.0184552371150172	0.0105782421815822	0.0103891135216439
101.48	0.0181360718296392	0.0106736983205896	0.010505032102229
103.7	0.0178317578689354	0.0107650522688536	0.0106158830045394
105.92	0.0175416309486291	0.0108523881101988	0.0107217515857651
108.14	0.0172650267844436	0.0109357899284501	0.0108227232030961
110.36	0.0170012810921023	0.0110153418074319	0.0109188832137223
112.58	0.0167497295873286	0.011091127830969	0.0110103169748338
114.8	0.0165097079858457	0.0111632320828861	0.0110971098436204
117.02	0.0162805520033771	0.0112317386470078	0.0111793471772723
119.24	0.0160615973556461	0.0112967316071588	0.0112571143329793
121.46	0.015852179758376	0.0113582950471637	0.0113304966679314
123.68	0.0156516349272902	0.0114165130508473	0.0113995795393187
125.9	0.0154592985781121	0.0114714697020342	0.0114644483043311
128.12	0.0152745064265649	0.0115232490845491	0.0115251883201586
130.34	0.0150965941883721	0.0115719352822166	0.0115818849439912
132.56	0.0149248975792569	0.0116176123788614	0.0116346235330188
134.78	0.0147587523149428	0.0116603644583082	0.0116834894444315
137	0.014597494111153	0.0117002756043816	0.0117285680354192
139.22	0.014440546101769	0.0117374228967183	0.0117699433577668
141.44	0.0142876810933041	0.0117718553982022	0.0118076942416391
143.66	0.0141387593104296	0.0118036151675294	0.0118418982117958
145.88	0.013993640977817	0.0118327442633958	0.0118726327929965
148.1	0.0138521863201375	0.0118592847444973	0.0118999755100011
150.32	0.0137142555620626	0.01188327866953	0.0119240038875691
152.54	0.0135797089282636	0.0119047680971899	0.0119447954504602
154.76	0.0134484066434119	0.0119237950861727	0.0119624277234342
156.98	0.0133202089321789	0.0119404016951746	0.0119769782312508
159.2	0.0131949760192359	0.0119546299828915	0.0119885244986696
161.42	0.0130725681292543	0.0119665220080194	0.0119971440504503
163.64	0.0129528454869054	0.0119761198292542	0.0120029144113527
165.86	0.0128356683168606	0.0119834655052919	0.0120059131061364
168.08	0.0127208968437913	0.0119886010948284	0.0120062176595611
170.3	0.0126083912923689	0.0119915686565597	0.0120039055963865
172.52	0.0124980118872647	0.0119924102491818	0.0119990544413723
174.74	0.0123896188531501	0.0119911679313907	0.0119917417192782
176.96	0.0122830724146964	0.0119878837618822	0.0119820449548639
179.18	0.012178232796575	0.0119825997993524	0.011970041672889
181.4	0.0120749602234573	0.0119753581024973	0.0119558093981134
183.62	0.0119731149200147	0.0119662007300127	0.0119394256552966
185.84	0.0118725571109185	0.0119551697405947	0.0119209679691984
188.06	0.01177314702084	0.0119423071929393	0.0119005138645785
190.28	0.0116747448744507	0.0119276551457423	0.0118781408661965
192.5	0.0115772108964219	0.0119112556576997	0.0118539264988122
194.72	0.011480405311425	0.0118931507875076	0.0118279482871852
196.94	0.0113841883441313	0.0118733825938619	0.0118002837560753
199.16	0.0112884202192122	0.0118519931354585	0.011771010430242
201.38	0.0111929611613391	0.0118290244709934	0.0117402058344452
203.6	0.0110976713951834	0.0118045186591625	0.0117079474934446
205.82	0.0110024111454163	0.0117785177586619	0.0116743129319997
208.04	0.0109070406367093	0.0117510638281875	0.0116393796748704
210.26	0.0108114200937338	0.0117221989264353	0.0116032252468162
212.48	0.0107154097411611	0.0116919651121012	0.0115659271725969
214.7	0.0106188698036625	0.0116604044438811	0.0115275629769723
216.92	0.0105216605059095	0.0116275589804711	0.0114882101847019
219.14	0.0104236420725733	0.0115934707805672	0.0114479463205455
221.36	0.0103246747283255	0.0115581819028652	0.0114068489092627
223.58	0.0102246186978372	0.0115217344060611	0.0113649954756134
