Time	E	B	G	F	C	A	D	H
0	-1.35525271560688e-20	9.63429454955711e-05	0	6.7762635780344e-21	-6.7762635780344e-21	1.00000013180396	-3.72694496791892e-20	0
0.0833333333333333	0.000108351872430945	0.00549741513431843	0.000107099242839459	0.00138227854629463	0.00170135461760758	0.991701457449381	5.41759362154729e-05	1.56394357748184e-05
0.166666666666667	0.000427189752027443	0.0106457719587158	0.000285375438019323	0.00278244622709384	0.00331658073953568	0.98347160993112	0.000213594876013724	6.36330978657047e-05
0.25	0.000947325155063829	0.01555021650458	0.00053128648569726	0.00419856884962342	0.00484838020074166	0.975310026929064	0.000473662577531919	0.000145550592280615
0.333333333333333	0.00165975376157289	0.0202193774232133	0.000841366730885471	0.00562875751800286	0.00629940952734333	0.967216149955634	0.000829876880786452	0.000262903623505253
0.416666666666667	0.00255565541534585	0.0246617089313275	0.00121222696345069	0.00707116863324527	0.00767227993661887	0.959189424355784	0.00127782770767294	0.000417145994503067
0.5	0.00362639412393242	0.0288854908110441	0.00164055441811419	0.00852400389325741	0.0089695573370069	0.951229299307004	0.00181319706196623	0.000609673606715251
0.583333333333333	0.00486351805864071	0.0328988284098945	0.00212311277445177	0.00998551029283972	0.0101937623281065	0.943335227819321	0.00243175902932038	0.000841824460060746
0.666666666666667	0.00625875955453732	0.0367096526408197	0.00265674215689377	0.0114539801236863	0.0113473702006771	0.935506666735297	0.00312937977726869	0.00111487865293624
0.75	0.0078040351104473	0.0403257199821704	0.00323835913472506	0.0129277509743848	0.0124328109366385	0.927743076730029	0.00390201755522369	0.00143005838221617
0.833333333333333	0.00949144538895413	0.043754612477707	0.00386495672208505	0.0144052057304167	0.0134524692090711	0.920043922311149	0.00474572269447711	0.00178852794325271
0.916666666666667	0.0113132752163997	0.0470037377365997	0.00453360437796766	0.015884772574157	0.0144086843822156	0.912408671818824	0.00565663760819992	0.00219139372987578
1	0.0132619935828846	0.0500803289334284	0.00524144800622138	0.0173649249848744	0.015303750511473	0.904836797425761	0.00663099679144233	0.00263970423439307
1.08333333333333	0.0153302536422674	0.0529914448081828	0.00598570995554921	0.0188441817387312	0.016139916343405	0.897327775137197	0.00766512682113375	0.00313445004758998
1.16666666666667	0.0175108927121655	0.0557439696662621	0.00676368901950869	0.0203211069087834	0.0169193853157335	0.889881084790907	0.00875544635608283	0.00367656385872969
