Time	A	B	C	D	E	F	G	H
0	1.0000408590765	0.000137070218036588	4.07272725410219e-05	8.14545450805792e-06	1.62909090161158e-05	4.0727272540862e-05	4.07272725408207e-05	4.07272725408821e-05
0.0833333333333333	0.991669478318292	0.00546543600322886	0.00166937548651803	6.18737469110706e-05	0.000123747493822141	0.00135029941520495	7.83923798048558e-05	5.41284892533552e-05
0.166666666666667	0.983375189566598	0.0105493515941932	0.00322016037501317	0.000221232011527914	0.000442464023055828	0.00268602586257123	0.000195205653872332	0.000101818775437167
0.25	0.975156976425565	0.0153971660010803	0.00469532969724197	0.00048159513783567	0.00096319027567134	0.00404551834612365	0.000387184837566351	0.000185213393799848
0.333333333333333	0.9670138373416	0.0200170648091789	0.0060970969133089	0.000838430971907831	0.00167686194381566	0.00542644490396838	0.000650434820136468	0.0003056740791126
0.416666666666667	0.958944785603373	0.024417070178916	0.00742764118420741	0.0012873003164143	0.0025746006328286	0.00682652988083378	0.000981147637258696	0.000464509038210297
0.5	0.950948849341817	0.0286050408458571	0.00868910737181988	0.00182385693062139	0.00364771386124278	0.00824355392807038	0.0013756024710355	0.000662972949991484
0.583333333333333	0.943025071530133	0.0325886721207057	0.00988360603891767	0.00244384753039182	0.00488769506078365	0.00967535400365092	0.0018301656499958	0.000902266965418377
0.666666666666667	0.935172509983782	0.0363754958893037	0.0110132134491611	0.00314311178818474	0.00628622357636947	0.0111198233721703	0.00234129064909497	0.00118353870751687
0.75	0.92739023736049	0.0399728806126312	0.0120799715670994	0.00391758233305568	0.00783516466611135	0.0125749116048457	0.00290551808971484	0.00150788227137651
0.833333333333333	0.919677341160248	0.0433880313268066	0.0130858880581708	0.00476328475065659	0.00952656950131319	0.0140386245795165	0.0035194757396637	0.00187633822415054
0.916666666666667	0.912032923725312	0.0466279896430865	0.0140329362887025	0.00567633758323586	0.0113526751664717	0.015509024480644	0.00417987851317629	0.00228989360505586
1	0.904456102240199	0.049699633747866	0.0149230553259107	0.00665295232963825	0.0133059046592765	0.0169842297993121	0.0048835284709138	0.00274948192537304
1.08333333333333	0.896946008731693	0.052609678402678	0.0157581499379004	0.00768943344530494	0.0153788668906099	0.0184624153332266	0.00562731481996389	0.00325598316844632
1.16666666666667	0.88950179006884	0.0553646749441941	0.0165400905936656	0.00878217834227354	0.0175643566845471	0.0199418121867156	0.00640821391384066	0.00381022378968364
1.25	0.882122607962951	0.0579710112842239	0.0172707134630895	0.00992767738917806	0.0198553547783561	0.0214207077707294	0.00722328925248467	0.00441297671655657
1.33333333333333	0.874807638967601	0.0604349119097154	0.0179518204169439	0.0111225139112489	0.0222450278224978	0.0228974458028404	0.00806969148226293	0.00506496134860037
