	rss	var_ref	df	chi2	pval
E	0.573753939573076	0.00575285784969255	90	99.7337244485781	0.226575125542074
B	0.00491311419904251	1.20078623455944e-05	90	409.15810471837	3.23728934388526e-42
G	0.00514036748931113	1.09700319738212e-05	90	468.58272624711	1.52421859858639e-52
F	0.00630021173715912	3.0305601524132e-05	90	207.889347853476	2.54766203478332e-11
I	0.00481767158570653	2.29104953819822e-06	90	2102.82296623554	0
J	0.0216404771609775	0.00017676461735523	90	122.425389677892	0.0130762135260119
C	0.0042226908811256	2.17698462003052e-06	90	1939.69715829522	0
H	0.651551075275577	0.00650077122235429	90	100.226735104149	0.216396379518836
K	0.233425519917717	0.00233525882463953	90	99.957022945304	0.221927639674584
D	0.200206190736928	0.0018853724269761	90	106.189200537972	0.117005965809802
A	0.110194084160204	0.00108953252407163	90	101.138866188596	0.198360274526717
Total	1.81616534271682	0.0177983089950911	990	5757.8212422522	0
