Time	E	B	G	F	I	J	C	H	K	D	A
0	0.0298448619781028	0.00820536221575103	0.00430623988965432	0.00296125139716347	0.00025941990168986	2.3039296165317e-19	4.33680868994202e-19	0	0.0185405849077273	0.0030888731087606	0.94618790005755
0.166666666666667	0.0288260538695447	0.0160219808297388	0.00441431287988939	0.00606720580131334	0.000267708481177636	1.56062440107237e-05	0.00281455423985999	0.00263344122202706	0.0171607442625898	0.00609132702796119	0.938971672397441
0.333333333333333	0.0282682499902746	0.0233196888379806	0.0046357466071035	0.00913528244752751	0.000331744103734849	6.35549991344567e-05	0.0054189157695713	0.00517147051516388	0.0159833040122056	0.00906549611957757	0.931205285979291
0.5	0.028155279145838	0.0301183954137042	0.00496256246446405	0.0121627462859455	0.00044808210933658	0.000145476127821365	0.00782210917060833	0.00762502105961347	0.0150017271766198	0.0120131297543209	0.92292548637714
0.666666666666667	0.0284711762023826	0.0364376239519531	0.00538698764013921	0.0151469650824698	0.000613359558277672	0.000262912596272043	0.0100329692476962	0.0100046847196603	0.0142095846030201	0.0149359095052207	0.914168122154477
0.833333333333333	0.0292001820866587	0.0422965120695863	0.00590145511729795	0.0180854094187657	0.000824295231172734	0.000417320474437514	0.0120601410288111	0.0123207120436702	0.0136005549657367	0.0178354491476246	0.904968144864245
1	0.0303267437860192	0.0477138116052786	0.00649860367411	0.0209756526922616	0.00107768962895613	0.000610068936019231	0.0139120797651796	0.0145830122640906	0.0131684247662428	0.0207132946591984	0.895359609048836
1.16666666666667	0.0318355143484191	0.0527078886195205	0.00717127788374591	0.0238153711161487	0.001370424972882	0.000842440258469074	0.0155970509312794	0.0168011532974502	0.0129070883331537	0.0235709242199263	0.885375672240095
1.33333333333333	0.0337113528824163	0.0572967233946179	0.00791252811437701	0.0266023437193812	0.00169946520452424	0.00111562982298935	0.0171231302248388	0.0189843617443594	0.0128105478222279	0.0264097482121107	0.875048594959315
1.5	0.0359393245571708	0.0614979104346927	0.00871561052917542	0.0293344523466761	0.00206185598577649	0.00143074611453281	0.0184982035668372	0.0211415228895097	0.0128729132163661	0.0292311092203722	0.864409740717245
1.66666666666667	0.0385047006024451	0.0653286584656822	0.00957398708631402	0.0320096816585136	0.00245472469885219	0.00178881072180261	0.0197299671015044	0.0232811807016744	0.013088402325612	0.0320362820316496	0.853489576014081
1.83333333333333	0.0413929583086044	0.0688057904353394	0.0104813255389665	0.0346261191311365	0.00287528044628452	0.00219075833725235	0.0208259271963212	0.0254115378337079	0.0134513407871517	0.0348264736352	0.842317670339472
2	0.0445897810266161	0.0719457435132331	0.0114314994353074	0.0371819550565509	0.00332081405092641	0.00263743675708605	0.0217934004420193	0.0275404556225464	0.013956162065314	0.0376028232225988	0.830922696172518
2.16666666666667	0.0480810581680502	0.0747645690907477	0.0124185881185119	0.0396754825425255	0.00378869805595057	0.00312960688125817	0.0226395136525811	0.0296754540892073	0.0145974074515703	0.0403664021877393	0.819332428981771
2.33333333333333	0.0518528852050791	0.0772779327810831	0.0134368767267561	0.0421050975125921	0.00427638672484949	0.0036679427134736	0.0233712038652396	0.0318237119387895	0.0153697260645348	0.0431182141268336	0.807573747225231
2.5	0.0558915636704776	0.079501114419255	0.0144808561932169	0.0444692987060454	0.00478141604143538	0.00425303136118765	0.023995218340479	0.0339920665604734	0.0162678748499642	0.0458591948384115	0.795672632350354
2.66666666666667	0.0601836011576231	0.0814490080620949	0.0155452232460718	0.0467666876779431	0.00530140370984025	0.00488537303560605	0.024518114562034	0.0361870140275209	0.0172867185807578	0.0485902123233213	0.783654168794044
2.83333333333333	0.0647157113204953	0.0831361219882496	0.0166248804084994	0.0489959687991057	0.00583404915451586	0.00556538105168498	0.0249462602368902	0.0384147090972751	0.0184212298569578	0.0513120667847295	0.771542543982656
3	0.0694748138736765	0.0845765786981819	0.0177149359986787	0.0511559492561166	0.00637713352023371	0.00629338182813103	0.025285833295284	0.0406809652111608	0.0196664891057487	0.0540254906281209	0.759361048331998
3.16666666666667	0.0744480345923512	0.0857841149141701	0.0188107041297899	0.0532455390513225	0.00692851967208511	0.00706961488740124	0.0255428218907025	0.0429912544946842	0.0210176845814579	0.0567311484612983	0.747132075247327
3.33333333333333	0.0796227053123068	0.0867720815803081	0.0199077047100136	0.0552637510028325	0.00748615219548109	0.00789423285570306	0.0257230243998839	0.0453507077574329	0.0224701123655553	0.0594296370943831	0.734877121123353
3.5	0.0849863639299328	0.0875534438625056	0.0210016634425315	0.057209700744519	0.00804805739615245	0.00876730146299437	0.0258320494228168	0.0477641144930759	0.0240191763666536	0.0621214855398145	0.722616785344238
3.66666666666667	0.0905267544022212	0.0881407811484878	0.0220885118255259	0.0590826067260172	0.00861234330014978	0.0096887995429835	0.0258753157827408	0.0502359228793637	0.0256603883205078	0.0648071550123504	0.710370770283591
3.83333333333333	0.0962318267467666	0.0885462870477958	0.02316438715218	0.0608817902127253	0.00917719965384341	0.0106586190331292	0.0258580525261464	0.0527702397781283	0.027389367790016	0.0674870389290665	0.698157881304478
4	0.102089737041766	0.0887817693917862	0.0242256325106778	0.0626066752858044	0.00974089792392343	0.0116765649746406	0.0257852989227747	0.055370830735283	0.0292018421652187	0.0701614629093571	0.68599602675941
4.16666666666667	0.108088847426019	0.0888586502336311	0.0252687967842038	0.0642567888421784	0.0103017912973997	0.0127423555124773	0.0256619044656178	0.0580411199808228	0.0310936466632989	0.0728306847749345	0.673902217990355
