Time	r1:	r2:	r3:	r4:	r5:	r6:	r7:	r8:	r9:
0	0.0500995605842227	0.00791245888333431	-0.00109627095274895	0.00221776874758751	-0.00784762076383292	0.0075817538915217	-0.00889948075570905	-0.00431206045028633	0.000150838302325295
0.166666666666667	0.0526301607936943	0.00877367092042657	0.000171167561167263	0.00617873654850491	-0.00490000867878337	0.00785818322772389	-0.00766525179303878	-0.00394785416529489	-0.000198990098059624
0.333333333333333	0.0549854670442584	0.00959523694029176	0.00139211375573703	0.00993131455079673	-0.00206253928289236	0.00815336507592518	-0.00647056819152621	-0.00357111514558269	-0.000515160652403819
0.5	0.0571696986409268	0.0103778267805998	0.00256721337084435	0.0134802041326298	0.000666793280606244	0.00846641429889537	-0.0053147829883155	-0.00318248369370077	-0.000798589229249221
0.666666666666667	0.0591870748887111	0.0111221102790206	0.00369711214637324	0.0168301066721708	0.00328999486847855	0.00879644575940427	-0.00419724922055078	-0.00278260011220017	-0.00105019169713776
0.833333333333333	0.0610418150926233	0.0118287572732242	0.00478245582220769	0.0199857235475865	0.00580907133749068	0.00914257432022168	-0.00311731992537622	-0.00237210470363192	-0.00127088392461136
1	0.0627381385576749	0.0124984376008803	0.0058238901382317	0.0229517561370438	0.00822602854440878	0.00950391484411741	-0.00207434813993595	-0.00195163777054707	-0.00146158178021195
1.16666666666667	0.0642802645888779	0.013131821099659	0.00682206083432928	0.0257329058187093	0.010542872345999	0.00987958219386128	-0.00106768690137413	-0.00152183961549666	-0.00162320113248147
1.33333333333333	0.0656724124912441	0.0137295776072302	0.00777761365038443	0.0283338739707499	0.0127616085990273	0.0102686912322231	-9.66892468349121e-05	-0.00108335054103173	-0.00175665784996184
1.5	0.0669188015697851	0.0142923769612638	0.00869119432628115	0.0307593619713324	0.0148842431602601	0.0106703568219726	0.000839291786537567	-0.000636810849703311	-0.00186286780119499
1.66666666666667	0.0680236511295128	0.0148208889994298	0.00956344860190344	0.0330140711986234	0.0169127818864632	0.0110836938258797	0.00174090316159915	-0.000182860844062455	-0.00194274685472285
1.83333333333333	0.0689911804754388	0.0153157835593979	0.0103950222171353	0.0351027030307898	0.018849230634403	0.0115078171067142	0.00260879184120569	0.000277859173339803	-0.00199721087908735
2	0.0698256089125751	0.0157777304788383	0.0111865609118608	0.0370299588459984	0.0206955952608454	0.0119418415272458	0.00344360478821304	0.000744708899952422	-0.00202717574283041
2.16666666666667	0.0705311557459333	0.0162073995954208	0.0119387104259638	0.0388005400224159	0.0224538816225567	0.0123848819502445	0.00424598896547705	0.00121704803322436	-0.00203355731449398
