Time	A	B	C	D	E	F	G	H	I	K	J
0	1.00016379679614	0.000194061819941677	0.000221441431095845	3.22987202564808e-05	6.45974405129189e-05	0.000206052677360006	0.000161493601282777	0.000161493601282895	0.00016149360128287	1.56530900359473e-16	0.000161493601283176
0.166666666666667	0.983432557480375	0.00890730135155741	0.00289109914330552	0.001033999625329	0.00206799925065795	0.00321850829424459	0.00138029126538997	0.000251049661326922	0.000178101504440315	4.17676208148924e-05	0.000170717523956344
0.333333333333333	0.966995320401569	0.0170324542877875	0.00536681378227124	0.00224695360605147	0.00449390721210291	0.00620980415225159	0.00259474636691133	0.000541426659543246	0.000251381992146745	0.000166903496938308	0.000224724601392692
0.5	0.95084665585203	0.0245927514494041	0.00765672642775805	0.0036593865616432	0.00731877312328635	0.00917626978117243	0.00380330189209492	0.00102649876273446	0.000377823964134481	0.000375124146709835	0.000324211158953729
0.666666666666667	0.934981210677335	0.031610962002399	0.00976880959582655	0.00525979174071681	0.0105195834814336	0.0121143597465974	0.00500445087225342	0.00170023267634863	0.000553999249054609	0.00066610208556311	0.00046980928939324
0.833333333333333	0.919393708276336	0.0381093934579839	0.011710867238833	0.00703692974127835	0.0140738594825567	0.0150206536499157	0.00619673638376421	0.00255668764447934	0.00077656260447697	0.00103946582602598	0.000662086852857288
1	0.904078948601154	0.0441098916725902	0.0134905347454292	0.00897982851072722	0.0179596570214544	0.0178918561283152	0.00737875154806931	0.00359001544986563	0.00104225171689017	0.0014947998777205	0.000901547476884209
1.16666666666667	0.889031808157181	0.0496338408478691	0.0151152789405625	0.0110777833458562	0.0221555666917123	0.020724796854783	0.0085491395316754	0.00479446041389204	0.00134788720170157	0.00203164474736294	0.00118863055640461
1.33333333333333	0.874247240003081	0.0547021635306917	0.0165923980854759	0.0133203568928514	0.0266407137857028	0.0235164305381046	0.00970659354615381	0.00616435939658861	0.00169037260323729	0.00264949693876375	0.00152371125374139
1.5	0.859720273750788	0.0593353206131488	0.017929021877708	0.0156973791472924	0.0313947582945848	0.0262638369228648	0.0108498568481405	0.00769414179663085	0.00206669439474223	0.00334780895282763	0.00190710049860971
1.66666666666667	0.845446015565509	0.063553311332551	0.0191321114510929	0.0181989474541521	0.0363978949083042	0.0289642207894469	0.0119777227393362	0.00937832955133978	0.00247392197838001	0.00412598928755345	0.002339044988117
1.83333333333333	0.831419648165722	0.0673756732714287	0.0202084593757605	0.0208154265077968	0.0416308530155935	0.0316149119540334	0.0130890345665061	0.0112115371366819	0.00290920768523305	0.00498340243803431	0.00281972718676298
2	0.817636430823174	0.0708214823575321	0.0211646896581361	0.023537448351986	0.047074896703972	0.0342133652686053	0.0141826857214802	0.0131884715672692	0.00336978677530251	0.00591936889645752	0.00334926532643964
2.16666666666667	0.804091699362886	0.0739093528638312	0.0220072577409405	0.0263559123798729	0.0527118247597458	0.0367571606209427	0.0152576196411532	0.015303932396359	0.00385297743750832	0.00693316515210457	0.00392771340643125
2.33333333333333	0.790780866163148	0.0766574374085158	0.0227424505031904	0.0292619853340039	0.0585239706680077	0.0392440029346246	0.0163128298074843	0.0175528117158545	0.00435618078968916	0.0080240236913512	0.00455506119341435
2.5	0.777699420155523	0.0790834269549954	0.0233763862601979	0.0322471013063186	0.0644942026126372	0.0416717221690286	0.0173473597474974	0.0199300941563041	0.00487688087860247	0.00919113299766732	0.00523123422145775
2.66666666666667	0.764842926824844	0.0812045508118994	0.0239150147635707	0.0353029617381504	0.0706059234763007	0.0440382733193316	0.0183603030332811	0.0224308568869016	0.00541264467992447	0.0104336375516171	0.00595609379202256
2.83333333333333	0.752207028209214	0.0830375766330769	0.024364117201212	0.0384215354202256	0.0768430708404511	0.0463417364165088	0.0193508032819886	0.0250502696154865	0.0059611220982501	0.0117506378308588	0.00672943697396213
3	0.739787442900012	0.0845988104175969	0.0247293061973207	0.0415950584926642	0.0831901169853283	0.0485803165273346	0.020318054155838	0.0277835945885438	0.00652004596709311	0.013141190310145	0.00755099660352211
3.16666666666667	0.727579966041882	0.0859040965097481	0.0250160258123915	0.0448160344449794	0.0896320688899588	0.0507523437543824	0.0212612993621116	0.0306261865912037	0.00708723204888597	0.0146043074613225	0.00842044128434042
3.33333333333333	0.715580469332744	0.0869688175990391	0.0252295515432142	0.048077234116078	0.0961544682321559	0.0528562732360241	0.0221798326531567	0.0335734929472423	0.00766057903497993	0.0161389577533323	0.00933737538744727
3.5	0.703784901023786	0.0878078947201982	0.0253749903228746	0.0513716956942599	0.10274339138852	0.0548906851464307	0.0230729978263852	0.0366210535190808	0.008238068545645	0.0177440656522094	0.0103013390512651
3.66666666666667	0.692189285919469	0.0884357872531734	0.0254572805207539	0.0546927247172185	0.109385449434437	0.0568542846955719	0.0239401887242737	0.0397645007077862	0.00881776513006993	0.0194185116210834	0.0113118081816087
3.83333333333333	0.680789725377525	0.0888664929231327	0.0254811919425291	0.0580338940720407	0.116067788144081	0.0587459021292165	0.0247808492343632	0.0429995594530709	0.00939781626636227	0.0211611321201777	0.012368194451685
4	0.669582397308957	0.0891135478004638	0.0254513258301724	0.0613890439952065	0.122778087990413	0.060564492728932	0.0255944732892596	0.0463220472332926	0.00997645236154829	0.0229707196068102	0.0134698453020935
4.16666666666667	0.658563556178038	0.0891900263007741	0.0253721148619519	0.0647522820725894	0.129504564145179	0.0623091368120847	0.0263806048666335	0.0497278740654546	0.010551986751573	0.0248460225353929	0.0146160439408255
