Time	A	B	C	D	E	F	G	H	I	K	J
0	-0.101280416850753	0.0540908510995657	0.0166163104980766	0.00535249697783369	0.0107049939556674	0.0181306844838249	0.00732262457729979	-7.75169286157893e-05	-7.75169286157777e-05	-7.51348321725469e-17	-7.75169286159246e-05
0.166666666666667	-0.0994999611993825	0.0504917157553754	0.0154278916919089	0.00665587243286239	0.0133117448657248	0.0180149874127827	0.00730134033316995	0.00114597127730121	0.00027321773731868	0.000500971971022128	0.000188964558663174
0.333333333333333	-0.0977523134539792	0.0470333503001582	0.0142888250554447	0.00788780123502664	0.0157756024700533	0.0178768924130926	0.00727056387133445	0.00233242686809727	0.000602637014890795	0.00100037506079829	0.000459816695934505
0.5	-0.096037014294916	0.0437129848052327	0.0131980992064575	0.00904988748068667	0.0180997749613733	0.0177171496995477	0.00723059546218122	0.00348240507564534	0.000911238477613129	0.00149794525189366	0.000734654087551723
0.666666666666667	-0.0943536044025657	0.0405278493419178	0.0121547027627208	0.0101437352662028	0.0202874705324055	0.0175365094869411	0.0071817353760982	0.00459646113181833	0.00119951969899824	0.00199341852687349	0.00101309133786848
0.833333333333333	-0.0927016244573011	0.0374751739815321	0.0111576243420082	0.0111709486879351	0.0223418973758703	0.017335721990066	0.00712428388347334	0.00567515026848918	0.0014679782525587	0.00248653086830302	0.00129474305123843
1	-0.091080615139495	0.0345521887953945	0.0102058525620932	0.012133131842244	0.0242662636844881	0.0171155374237156	0.00705854125469456	0.00671902771753082	0.00171711171180705	0.0029770182587475	0.00157922383201523
1.16666666666667	-0.0894901171295202	0.0317561238548237	0.00929837604074933	0.0130318888254897	0.0260637776509795	0.016876706002683	0.00698480776014981	0.00772864871081618	0.00194741765025587	0.00346461668077217	0.00186614828455253
1.33333333333333	-0.0879296711077494	0.0290842092311384	0.00843418339575017	0.0138688237340325	0.027737647468065	0.0166199779417614	0.00690338367022703	0.00870456848021818	0.00215939364141771	0.00394906211694229	0.00215513101320398
1.5	-0.0863988177545555	0.0265336749956574	0.00761226324486925	0.0146455406642325	0.029291081328465	0.016346103455744	0.00681456925531416	0.00964734225760976	0.00235353725880513	0.00443009054982311	0.00244578662232324
1.66666666666667	-0.0848970977503113	0.0241017512196994	0.00683160420588011	0.0153636437124501	0.0307272874249002	0.016055832759424	0.00671866478579913	0.0105575252748639	0.0025303460759307	0.00490743796197986	0.00273772971626396
1.83333333333333	-0.0834240517753895	0.0217856679745833	0.00609119489655629	0.0160247369750454	0.0320494739500908	0.0157499160675945	0.00661597053206988	0.0114356727638534	0.00269031766630697	0.0053808403359778	0.0030305748993798
2	-0.0819792205101629	0.0195826553316276	0.00539002393467134	0.0166304245483788	0.0332608490967576	0.0154291035950486	0.00650678676451436	0.0122823399564513	0.00283394960344651	0.00585003365438217	0.00332393677602441
2.16666666666667	-0.0805621446350044	0.0174899433621513	0.0047270799379988	0.0171823105288104	0.0343646210576209	0.0150941455565796	0.00639141375352049	0.0130980820845305	0.00296173946086187	0.00631475389975822	0.00361742995055144
2.33333333333333	-0.0791723648302867	0.015504762137473	0.00410135152431221	0.0176819990127006	0.0353639980254013	0.0147457921669806	0.00627015176947623	0.0138834543799639	0.00307418481206563	0.0067747370546712	0.00391066902731455
2.5	-0.0778094217763826	0.0136243417289114	0.00351182731138511	0.0181310940964096	0.0362621881928192	0.0143847936410448	0.0061433010827695	0.0146390120746245	0.00317178323057033	0.00722971910168636	0.00420326861066739
2.66666666666667	-0.076472856153665	0.0118459122077855	0.00295749591699105	0.0185311998762976	0.0370623997525951	0.0140119001935654	0.00601116196378825	0.0153653104003851	0.00325503228988854	0.00767943602336894	0.00449484330496362
2.83333333333333	-0.0751622086425065	0.0101667036454137	0.00243734595890356	0.0188839204487248	0.0377678408974496	0.0136278620393354	0.00587403468292042	0.0160629045891188	0.00332442956353282	0.00812362380228419	0.00478500771455688
3	-0.07387701992328	0.00858394611311509	0.00195036605489619	0.0191908599100516	0.0383817198201032	0.0132334293931482	0.00573221951055394	0.0167323498726984	0.00338047262501574	0.00856201842099737	0.00507337644380083
3.16666666666667	-0.0726168306763584	0.00709486968220822	0.00149554482274248	0.0194536223566381	0.0389072447132763	0.0128293524697968	0.00558601671707675	0.017374201482997	0.00342365904784984	0.0089943558620737	0.00535956409704913
3.33333333333333	-0.0713811815821143	0.00569670442401188	0.00107187088021598	0.0196738118848447	0.0393476237696894	0.0124163814840745	0.0054357265728768	0.0179890146518873	0.0034544864055477	0.00942037210807845	0.00564318527865543
3.5	-0.0701696133209205	0.00438668040984484	0.000678332845090222	0.0198530325910315	0.0397060651820631	0.0119952666507743	0.00528164934834201	0.0185773446112423	0.00347345227162187	0.00983980314157686	0.00592385459297338
3.66666666666667	-0.0689816665731499	0.00316202771102583	0.000313919335138753	0.0199928885715589	0.0399857771431178	0.0115667581846896	0.00512408531386034	0.019139746592935	0.00348105421958492	0.0102523849451342	0.00620118664435663
3.83333333333333	-0.0678168820191753	0.00201997639887361	-2.23810318648877e-05	0.020094983922787	0.040189967845574	0.0111316063006133	0.00496333473981971	0.0196767758288383	0.0034777898229494	0.0106578535013156	0.00647479603715885
4	-0.0666748003393694	0.000957756544706938	-0.000331579638147155	0.0201609227410761	0.0403218454821522	0.0106905612133387	0.00479969789660807	0.0201889875508252	0.00346415665522787	0.0110559447926865	0.00674429737573368
4.16666666666667	-0.0655549622141051	-2.74017801554418e-05	-0.000614687865934507	0.0201923091227865	0.040384618245573	0.010244373137659	0.00463347505461336	0.0206769369907685	0.00344065228993291	0.011446394801812	0.00700930526443478
